,cid,canonical_smiles,molecular_weight,xlogp
311,6506,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,276.28,0.1
312,6507,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,360.4,2.7
313,6508,C1C(C(C(CC1(C(=O)O)O)O)O)O,192.17,-2.4
314,6510,CCC(CO)(CO)CO,134.17,-0.8
315,6516,CCO[Si](C=C)(OCC)OCC,190.31,
316,6517,CCO[Si](OCC)(OCC)OCC,208.33,
317,60971,CCCCCCCCCCCCCCCC[N+]1(CCOCC1)CC.CCOS(=O)(=O)[O-],465.7,
318,6532,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,224.34,4.3
319,62321,CCCC(=O)OC(C)(CCC=C(C)C)C=C,224.34,4.1
320,5355858,CC(=CCCC(C)(C=C)OC(=O)C=CC1=CC=CC=C1)C,284.4,5.4
321,6535,CCOP(=O)(OCC)OCC,182.15,0.8
322,6544,CC1=CC(=O)CC(C1)(C)C,138.21,1.6
323,6548,CCC(C)(CCCC(C)C)O,158.28,3.3
324,6549,CC(=CCCC(C)(C=C)O)C,154.25,2.7
325,6556,CCC(C)C,72.15,2.6
326,6557,CC(=C)C=C,68.12,2.5
327,6558,CC(C)CN,73.14,0.7
328,6560,CC(C)CO,74.12,0.8
329,6561,CC(C)C=O,72.11,0.8
330,6562,CC(=C)C=O,70.09,0.7
331,6566,CC(CO)Cl,94.54,0.6
332,6568,CCC(C)O,74.12,0.6
333,6569,CCC(=O)C,72.11,0.3
334,6570,CC(=O)C=C,70.09,0.5
335,6571,CC(=O)CCl,92.52,0.6
336,4,CC(CN)O,75.11,-1
337,880,CC(=O)C=O,72.06,-0.4
338,6573,CCC(Cl)Cl,112.98,2.5
339,6575,C(=C(Cl)Cl)Cl,131.38,2.6
340,6579,C=CC(=O)N,71.08,-0.7
341,6580,C(C(=O)N)Cl,93.51,-0.5
342,1032,CCC(=O)O,74.08,0.3
343,6581,C=CC(=O)O,72.06,0.3
344,300,C(C(=O)O)Cl,94.5,0.2
345,757,C(C(=O)O)O,76.05,-1.1
346,6584,CC(=O)OC,74.08,0.2
347,6585,CC(=O)OO,76.05,-0.4
